quando                  | quem   | balcao | o_que                            | canal_criado/usado  
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3099   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3100   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3097   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3096   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3095   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3092   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3094   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3102   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3103   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3106   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3105   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3104   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3107   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3108   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3109   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3110   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3111   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3112   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3113   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3114   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3115   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3109   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3110   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3108   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3111   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3112   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3107   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3113   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3104   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3116   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3117   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3118   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3119   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3120   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3121   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3122   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3123   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3105   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3106   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3115   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3114   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3103   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3124   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3125   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3126   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3122   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3121   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3123   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3120   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3119   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3118   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3117   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3116   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3126   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3125   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3124   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3127   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3128   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3129   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3130   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3131   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3132   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3163   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3162   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3165   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3161   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3164   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3166   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3167   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3160   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3163   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3162   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3132   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3165   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3161   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3131   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3130   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3129   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3128   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3127   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3160   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3167   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3166   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3164   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3197   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3202   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3203   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3201   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3200   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3204   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3199   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3205   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3198   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3206   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3207   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3208   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3209   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3210   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3211   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3212   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3213   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3214   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3215   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3216   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3217   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3218   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3204   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3200   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3201   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3202   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3203   
